"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Sagadahoc County, ME"	"23023"	0	35856	Unreliable
	"Somerset County, ME"	"23025"	0	50484	Unreliable
	"Waldo County, ME"	"23027"	Suppressed	39715	Suppressed
	"Washington County, ME"	"23029"	0	31379	Unreliable
	"York County, ME"	"23031"	Suppressed	207641	Suppressed
	"Allegany County, MD"	"24001"	0	70416	Unreliable
	"Anne Arundel County, MD"	"24003"	12	579234	Unreliable
	"Baltimore County, MD"	"24005"	80	827370	9.7
	"Calvert County, MD"	"24009"	0	92525	Unreliable
	"Caroline County, MD"	"24011"	0	33406	Unreliable
	"Carroll County, MD"	"24013"	Suppressed	168447	Suppressed
	"Cecil County, MD"	"24015"	Suppressed	102855	Suppressed
	"Charles County, MD"	"24017"	Suppressed	163257	Suppressed
	"Dorchester County, MD"	"24019"	Suppressed	31929	Suppressed
	"Frederick County, MD"	"24021"	Suppressed	259547	Suppressed
	"Garrett County, MD"	"24023"	0	29014	Unreliable
	"Harford County, MD"	"24025"	Suppressed	255441	Suppressed
	"Howard County, MD"	"24027"	12	325690	Unreliable
	"Kent County, MD"	"24029"	0	19422	Unreliable
	"Montgomery County, MD"	"24031"	17	1050688	Unreliable
	"Prince George's County, MD"	"24033"	69	909327	7.6
	"Queen Anne's County, MD"	"24035"	Suppressed	50381	Suppressed
	"St. Mary's County, MD"	"24037"	Suppressed	113510	Suppressed
	"Somerset County, MD"	"24039"	Suppressed	25616	Suppressed
	"Talbot County, MD"	"24041"	0	37181	Unreliable
	"Washington County, MD"	"24043"	Suppressed	151049	Suppressed
	"Wicomico County, MD"	"24045"	Suppressed	103609	Suppressed
	"Worcester County, MD"	"24047"	0	52276	Unreliable
	"Baltimore city, MD"	"24510"	249	593490	42.0
	"Barnstable County, MA"	"25001"	Suppressed	212990	Suppressed
	"Berkshire County, MA"	"25003"	Suppressed	124944	Suppressed
	"Bristol County, MA"	"25005"	Suppressed	565217	Suppressed
	"Dukes County, MA"	"25007"	Suppressed	17332	Suppressed
	"Essex County, MA"	"25009"	Suppressed	789034	Suppressed
	"Franklin County, MA"	"25011"	Suppressed	70180	Suppressed
	"Hampden County, MA"	"25013"	21	466372	4.5
	"Hampshire County, MA"	"25015"	Suppressed	160830	Suppressed
	"Middlesex County, MA"	"25017"	Suppressed	1611699	Suppressed
	"Nantucket County, MA"	"25019"	0	11399	Unreliable
	"Norfolk County, MA"	"25021"	Suppressed	706775	Suppressed
	"Plymouth County, MA"	"25023"	Suppressed	521202	Suppressed
	"Suffolk County, MA"	"25025"	31	803907	3.9
	"Worcester County, MA"	"25027"	Suppressed	830622	Suppressed
	"Alcona County, MI"	"26001"	0	10405	Unreliable
	"Alger County, MI"	"26003"	0	9108	Unreliable
	"Allegan County, MI"	"26005"	0	118081	Unreliable
	"Alpena County, MI"	"26007"	0	28405	Unreliable
	"Antrim County, MI"	"26009"	0	23324	Unreliable
	"Arenac County, MI"	"26011"	0	14883	Unreliable
	"Baraga County, MI"	"26013"	0	8209	Unreliable
	"Barry County, MI"	"26015"	Suppressed	61550	Suppressed
	"Bay County, MI"	"26017"	Suppressed	103126	Suppressed
	"Benzie County, MI"	"26019"	0	17766	Unreliable
	"Berrien County, MI"	"26021"	Suppressed	153401	Suppressed
	"Branch County, MI"	"26023"	0	43517	Unreliable
	"Calhoun County, MI"	"26025"	Suppressed	134159	Suppressed
	"Cass County, MI"	"26027"	Suppressed	51787	Suppressed
