year,state,all_firearms_recovered,city,firearm_by_city,population,top_categ_reported,top15_sourcer_states,time_to_crime,age_of_possessors
2014,Missouri,4976,Kansas City,1351,,,,,
2014,Missouri,,Springfield,229,,,,,
2014,Missouri,,Columbia,126,,,,,
2014,Missouri,,St. Joseph,110,,,,,
2014,Missouri,,Poplar Bluff,82,,,,,
2014,Missouri,,Blue Springs,52,,,,,
2014,Missouri,,Cape Girardeau,50,,,,,
2014,Missouri,,Joplin,46,,,,,
2014,Missouri,,Florissant,44,,,,,
2014,Missouri,,Grandview,44,,,,,
2014,Missouri,,Independence,44,,,,,
2014,Missouri,,St. Louis,1623,,,,,
,,,,,,,,,
2014,Montana,469,Great Falls,38,,,,,
2014,Montana,,Missoula,37,,,,,
2014,Montana,,Polson,36,,,,,
2014,Montana,,Havre,21,,,,,
2014,Montana,,Helena,13,,,,,
2014,Montana,,Browning,12,,,,,
2014,Montana,,Kalispell,12,,,,,
2014,Montana,,Bozeman,11,,,,,
2014,Montana,,Whitefish,10,,,,,
2014,Montana,,Billings,152,,,,,
,,,,,,,,,
2014,Nebraska,1104,Omaha,606,,,,,
2014,Nebraska,,Lincoln,179,,,,,
2014,Nebraska,,North Platte,89,,,,,
2014,Nebraska,,Bellevue,34,,,,,
2014,Nebraska,,Grand Island,34,,,,,
2014,Nebraska,,Papillion,15,,,,,
2014,Nebraska,,Hastings,12,,,,,
2014,Nebraska,,Kearney,12,,,,,
2014,Nebraska,,Ralston,12,,,,,
,,,,,,,,,
2014,Nevada,3165,Reno,130,,,,,
2014,Nevada,,North Las Vegas,72,,,,,
2014,Nevada,,Carson City,69,,,,,
2014,Nevada,,Sparks,59,,,,,
2014,Nevada,,Laughlin,32,,,,,
2014,Nevada,,Henderson,25,,,,,
2014,Nevada,,Fernley,14,,,,,
2014,Nevada,,Elko,12,,,,,
2014,Nevada,,Sun Valley,10,,,,,
2014,Nevada,,Las Vegas,2684,,,,,
,,,,,,,,,
2014,New Hampshire,256,Londonderry,25,,,,,
2014,New Hampshire,,Nashua,14,,,,,
2014,New Hampshire,,Epping,13,,,,,
2014,New Hampshire,,Hooksett,8,,,,,
2014,New Hampshire,,Laconia,7,,,,,
2014,New Hampshire,,Bedford,5,,,,,
2014,New Hampshire,,Concord,5,,,,,
2014,New Hampshire,,Danbury,49,,,,,
2014,New Hampshire,,Manchester,48,,,,,
,,,,,,,,,
2014,New Jersey,3994,Trenton,280,,,,,
2014,New Jersey,,Camden,270,,,,,
2014,New Jersey,,Jersey City,223,,,,,
2014,New Jersey,,Atlantic City,125,,,,,
2014,New Jersey,,Plainfield,113,,,,,
2014,New Jersey,,Elizabeth,68,,,,,
2014,New Jersey,,Irvington,67,,,,,
2014,New Jersey,,East Orange,54,,,,,
2014,New Jersey,,Newark,597,,,,,
2014,New Jersey,,Paterson,299,,,,,
,,,,,,,,,
2014,New Mexico,1644,Lovington,217,,,,,
2014,New Mexico,,Las Cruces,143,,,,,
2014,New Mexico,,Carlsbad,93,,,,,
2014,New Mexico,,Rio Rancho,83,,,,,
