,Distribution,Beta,N,topk,sigma,B_hat,Bh_L,Bh_H,R2
21,Normal,0.8333333333333334,10,0.5,0.05,0.9393434977344484,0.03166893383980862,1.847018061629088,0.7833469899010548
22,Normal,0.8333333333333334,10,0.5,0.05,0.23959449976052127,-0.5872489878013911,1.0664379873224337,0.22086254221019508
23,Normal,0.8333333333333334,10,0.5,0.05,1.3356001461548246,0.40306296667465347,2.2681373256349957,0.8738174768653801
24,Normal,0.8333333333333334,10,0.5,0.05,0.3809869526807148,-0.4570608872997818,1.2190347926612115,0.41097601606856193
25,Normal,0.8333333333333334,10,0.5,0.05,0.43756625956985573,-1.0203000326480787,1.8954325517877901,0.23320277389120847
26,Normal,0.8333333333333334,10,0.5,0.05,1.4326648260320631,0.25213630926763986,2.613193342796486,0.832553843706153
27,Normal,0.8333333333333334,10,0.5,0.05,0.7190055287073278,0.3176027100541936,1.120408347360462,0.9154827021406872
28,Normal,0.8333333333333334,10,0.5,0.05,0.360612734081613,-1.9824580757883559,2.703683543951582,0.07404600229760605
29,Normal,0.8333333333333334,10,0.5,0.05,0.9396104717062066,0.16805961215310172,1.7111613312593115,0.8335243245752066
30,Normal,0.8333333333333334,10,0.5,0.05,1.0715464967039736,-0.7778527374951005,2.920945730903048,0.5312522634080368
31,Normal,0.8333333333333334,10,0.5,0.05,-0.0018463800279135967,-3.8105486113480045,3.8068558512921773,7.933936491122395e-07
32,Normal,0.8333333333333334,10,0.5,0.05,1.1071466884799577,-0.5110546188796163,2.725347995839532,0.6124517777014138
33,Normal,0.8333333333333334,10,0.5,0.05,2.067460623887712,0.6325584519827987,3.502362795792625,0.8751341171353099
34,Normal,0.8333333333333334,10,0.5,0.05,0.5453538370474575,-0.15331776845514256,1.2440254425500576,0.6728703457485674
35,Normal,0.8333333333333334,10,0.5,0.05,0.5042765979699197,-0.14292551535502107,1.1514787112948606,0.6720828538615246
36,Normal,0.8333333333333334,10,0.5,0.05,0.6718354898194434,-3.345140562788112,4.688811542426999,0.08628568338389042
37,Normal,0.8333333333333334,10,0.5,0.05,-0.36824943472572613,-1.2727352901679476,0.5362364207164954,0.35881197897030515
38,Normal,0.8333333333333334,10,0.5,0.05,1.2085859072387208,-0.2611170648967778,2.6782888793742194,0.69539611498445
39,Normal,0.8333333333333334,10,0.5,0.05,0.9236748920822571,0.12960668769158412,1.71774309647293,0.8204014451378574
40,Normal,0.8333333333333334,10,0.5,0.05,0.2512043994636599,-0.26032609192704237,0.7627348908543622,0.44878217433977863
41,Normal,0.8333333333333334,10,0.5,0.05,-0.16572706235007217,-2.72075154087367,2.389297416173526,0.014004658145962745
42,Normal,0.8333333333333334,10,0.5,0.05,0.5543454728936013,-1.0781856778697982,2.1868766236570005,0.2801919579847625
43,Normal,0.8333333333333334,10,0.5,0.05,0.8842863106954351,-0.24616933631073934,2.0147419577016095,0.673816505366253
44,Normal,0.8333333333333334,10,0.5,0.05,0.4815775986078954,0.08882846959966384,0.874326727616127,0.8354121475806635
45,Normal,0.8333333333333334,10,0.5,0.05,0.4518368408968172,0.14738529475897794,0.7562883870346564,0.8814576272966641
46,Normal,0.8333333333333334,10,0.5,0.05,0.9993115159225141,-0.9310129114578385,2.9296359433028667,0.47500446746288116
47,Normal,0.8333333333333334,10,0.5,0.05,0.582078887622643,-1.1203583141562112,2.2845160894014973,0.2829790354688122
48,Normal,0.8333333333333334,10,0.5,0.05,0.6472893734754948,-0.35590743634056077,1.6504861832915503,0.5842830664895035
49,Normal,0.8333333333333334,10,0.5,0.05,0.5367038232601775,0.07739743220887013,0.9960102143114848,0.8217348699775937
50,Normal,0.8333333333333334,100,0.5,0.05,0.43631000554268873,0.2698404384986023,0.6027795725867752,0.38243320151563265
51,Normal,0.8333333333333334,100,0.5,0.05,0.3543760980507571,0.19061265082393514,0.518139545277579,0.2968292536506726
52,Normal,0.8333333333333334,100,0.5,0.05,0.3964735887419,0.16766484161632877,0.6252823358674712,0.2130113525871834
53,Normal,0.8333333333333334,100,0.5,0.05,0.7160808980158953,0.5470361571229758,0.8851256389088147,0.6179710493403798
54,Normal,0.8333333333333334,100,0.5,0.05,0.5343448698548698,0.34768348478747096,0.7210062549222687,0.4248673444513411
55,Normal,0.8333333333333334,100,0.5,0.05,0.6280665859676784,0.4336450505444789,0.8224881213908779,0.4847349483509197
56,Normal,0.8333333333333334,100,0.5,0.05,0.4735678537710548,0.2639594082624974,0.6831762992796122,0.3202814830708576
57,Normal,0.8333333333333334,100,0.5,0.05,0.4345631891331543,0.2669574038202547,0.6021689744460539,0.37733837018815886
58,Normal,0.8333333333333334,100,0.5,0.05,0.5738071187647904,0.3734281708520591,0.7741860666775218,0.43084106629987695
59,Normal,0.8333333333333334,100,0.5,0.05,0.4173157741465392,0.26105203048008707,0.5735795178129913,0.3913315967880582
60,Normal,0.8333333333333334,100,0.5,0.05,0.4114526207608975,0.23953377667053863,0.5833714648512563,0.3405214014478617
61,Normal,0.8333333333333334,100,0.5,0.05,0.584183489142188,0.40819894605282425,0.7601680322315517,0.5042627657285346
62,Normal,0.8333333333333334,100,0.5,0.05,0.6560217346122883,0.4985749088909946,0.8134685603335821,0.6101393555909178
